sezione,domanda,tipo,pagina_pdf,risposta,incipit
Topic 1 - General Arithmetic,1,PS,1,,"Of the films Empty Set Studios released last year, 60% were comedies and the rest were hor..."
Topic 1 - General Arithmetic,2,PS,1,,"At a certain hospital, 75% of the interns receive fewer than 6 hours of sleep and report f..."
Topic 1 - General Arithmetic,3,PS,1,,"All of the students of Music High School are in the band, the orchestra, or both. 80 perce..."
Topic 1 - General Arithmetic,4,PS,1,,How many attendees are at a convention if 150 of the attendees are neither female nor stud...
Topic 1 - General Arithmetic,5,PS,1,,Eighty percent of the lights at Hotel California are on at 8 p.m. a certain evening. Howev...
Topic 1 - General Arithmetic,6,PS,1,,Of the 645 speckled trout in a certain fishery that contains only speckled and rainbow tro...
Topic 1 - General Arithmetic,7,PS,1,,30% of major airline companies equip their planes with wireless internet access. 70% of ma...
Topic 1 - General Arithmetic,8,PS,1,,"In country Z, 10% of the people do not have a university diploma but have the job of their..."
Topic 1 - General Arithmetic,9,PS,1,,Seventy percent of the 800 students in School T are male. At least ten percent of the fema...
Topic 1 - General Arithmetic,10,PS,1,,"75% of the guestrooms at the Stagecoach Inn have a queenHsized bed, and each of the remain..."
Topic 1 - General Arithmetic,11,PS,1,,"At the end of the day, February 14th, a florist had 120 roses left in his shop, all of whi..."
Topic 1 - General Arithmetic,2,PS,2,,"Some of the people in Town X are leftHhanded, some are tall, some are both, and some are n..."
Topic 1 - General Arithmetic,13,PS,2,,The waiter at an expensive restaurant has noticed that 60% of the couples order dessert an...
Topic 1 - General Arithmetic,14,PS,2,,50% of the apartments in a certain building have windows and hardwood floors. 25% of the a...
Topic 1 - General Arithmetic,15,PS,2,,A farmer has an apple orchard consisting of Fuji and Gala apple trees. Due to high winds t...
Topic 1 - General Arithmetic,16,PS,2,,"In a group of 68 students, each student is registered for at least one of three classes –..."
Topic 1 - General Arithmetic,17,PS,2,,Each of the 59 members in a high school class is required to sign up for a minimum of one...
Topic 1 - General Arithmetic,18,PS,2,,"Each of 435 bags contains at least one of the following three items: raisins, almonds, and..."
Topic 1 - General Arithmetic,19,DS,2,,What percent of the students at Jefferson High School study French but not Spanish? (1) 30...
Topic 1 - General Arithmetic,20,DS,2,,"If none of the students are ambidextrous, what percentage of the 20 students in Mr. Hender..."
Topic 1 - General Arithmetic,21,DS,2,,Guests at a recent party ate a total of fifteen hamburgers. Each guest who was neither a s...
Topic 1 - General Arithmetic,22,DS,2,,"To receive a driver license, sixteen yearHolds at Culliver High School have to pass both a..."
Topic 1 - General Arithmetic,23,DS,3,,"At a charity fundraiser, 180 of the guests had a house both in the Hamptons and in Palm Be..."
Topic 1 - General Arithmetic,24,PS,3,,Recently Mary gave a birthday party for her daughter at which she served both chocolate an...
Topic 1 - General Arithmetic,25,DS,3,,Many of the students at the International School speak French or German or both. Among the...
Topic 1 - General Arithmetic,26,DS,3,,Each member of a pack of 55 wolves has either brown or blue eyes and either a white or a g...
Topic 1 - General Arithmetic,27,DS,3,,What percentage of the current fourth graders at Liberation Elementary School dressed in c...
Topic 1 - General Arithmetic,28,DS,3,,"Of all the houses on Kermit Lane, 20 have front porches, 20 have front yards, and 40 have..."
Topic 1 - General Arithmetic,29,DS,3,,"55 people live in an apartment complex with three fitness clubs (A, B, and C). Of the 55 r..."
Topic 1 - General Arithmetic,30,DS,3,,At least 100 students at a certain high school study Japanese. If 4 percent of the student...
Topic 1 - General Arithmetic,31,PS,3,,"Set A, B, C have some elements in common. if 16 elements are in both A and B, 17 elements..."
Topic 1 - General Arithmetic,32,DS,4,,"Of the students who eat in a certain cafeteria, each student either likes or dislikes lima..."
