question,section,passage,book_difficulty,book_concept,page,explanation_page,oa,gmatclub_id,gmatclub_difficulty,gmatclub_percentile,gmatclub_category
1,PS,,Easy,Statistics,82,127,B,102001,Easy,0.15,Probability
2,PS,,Easy,Statistics,82,127,E,102002,Easy,0.05,Probability
3,PS,,Easy,Statistics,82,128,D,100100,Easy,0.05,Statistics and Sets Problems
4,PS,,Easy,Applied Problems,82,128,C,100933,Easy,0.05,Word Problems
5,PS,,Easy,Statistics,82,128,D,102003,Medium,0.25,Number Properties
6,PS,,Easy,Statistics,83,128,D,100739,Medium,0.35,Statistics and Sets Problems
7,PS,,Easy,Statistics,83,129,E,102004,Medium,0.35,Statistics and Sets Problems
8,PS,,Easy,Operations with Rational Numbers,83,129,C,100863,Easy,0.05,Arithmetic
9,PS,,Easy,Number Line,83,129,A,102005,Easy,0.05,Number Properties
10,PS,,Easy,First-Degree Equations,83,130,B,100276,Easy,0.05,Word Problems
11,PS,,Easy,Operations with Rational Numbers,83,130,D,100718,Easy,0.05,Fractions and Ratios
12,PS,,Easy,Ratio and Proportion,84,130,E,100978,Easy,0.05,Fractions and Ratios
13,PS,,Easy,Algebra Interpretation of Tables; Applied Problems,84,130,D,100838,Easy,0.05,Algebra
14,PS,,Easy,Applied Problems; Properties of Numbers,84,131,B,100679,Easy,0.05,Number Properties; Word Problems
15,PS,,Easy,Ratio and Proportion,84,131,C,102006,Medium,0.35,Fractions and Ratios
16,PS,,Easy,Percents,84,132,E,100212,Easy,0.05,Arithmetic; Percent and Interest Problems
17,PS,,Easy,Applied Problems,84,132,E,102007,Easy,0.15,Word Problems
18,PS,,Easy,Operations with Rational Numbers,85,132,D,100717,Easy,0.05,Distance and Speed Problems; Word Problems
19,PS,,Easy,Applied Problems,85,132,E,102008,Easy,0.15,Work and Rate Problems
20,PS,,Easy,First-Degree Equations,85,133,B,100232,Easy,0.15,Word Problems
21,PS,,Easy,Applied Problems,85,133,C,102009,Medium,0.25,Work and Rate Problems
22,PS,,Easy,First-Degree Equations,85,133,B,100218,Easy,0.15,Algebra
23,PS,,Easy,Applied Problems,85,134,C,101006,Easy,0.05,Word Problems
24,PS,,Easy,Probability,86,134,C,100713,Easy,0.05,Probability
25,PS,,Easy,Applied Problems,86,134,C,100235,Easy,0.05,Word Problems
26,PS,,Easy,Inequalities,86,134,E,100804,Easy,0.05,Inequalities
27,PS,,Easy,Operations with Integers,86,135,C,100410,Easy,0.15,Number Properties; Statistics and Sets Problems
28,PS,,Easy,Estimation,86,135,B,100856,Easy,0.05,Arithmetic
29,PS,,Easy,Simultaneous First-Degree Equations,86,136,B,100219,Easy,0.15,Algebra
30,PS,,Easy,Applied Problems,86,136,B,102010,Easy,0.05,Percent and Interest Problems
31,PS,,Easy,Arithmetic; Simplifying Algebraic Expressions; Percents,87,136,A,100254,Easy,0.05,Percent and Interest Problems
32,PS,,Easy,Applied Problems,87,136,E,100275,Easy,0.05,Word Problems; Work and Rate Problems
33,PS,,Easy,Estimation,87,137,A,102011,Easy,0.05,Fractions and Ratios
34,PS,,Easy,Percents,87,137,B,102012,Easy,0.05,Percent and Interest Problems
35,PS,,Easy,Profit and Loss,87,137,E,100709,Easy,0.15,Word Problems
36,PS,,Easy,Simplifying Algebraic Expressions,87,137,E,100162,Easy,0.05,Absolute Values
37,PS,,Easy,Ratio and Proportion,87,138,D,100189,Easy,0.05,Algebra
38,PS,,Easy,Exponents,87,138,B,100836,Easy,0.05,Algebra; Exponents
39,PS,,Easy,Percents,88,138,D,102013,Easy,0.05,Word Problems
40,PS,,Easy,Operations with Rational Numbers,88,139,C,100213,Easy,0.05,Remainders
41,PS,,Easy,Applied Problems,88,139,D,100172,Medium,0.35,Word Problems
42,PS,,Easy,Percents,88,140,B,102014,Medium,0.25,Percent and Interest Problems; Word Problems
43,PS,,Easy,Simultaneous Equations,88,140,B,100720,Easy,0.05,Algebra
