question,section,type,oa,gmatclub_id,gmatclub_difficulty,gmatclub_percentile,gmatclub_category
803,G&T,Graph,Dropdown 1: 21.0; Dropdown 2: Paper Check,100351,Very Hard,0.75,Graphs; Non-Math Related
804,G&T,Graph,Dropdown 1: 3; Dropdown 2: G,101123,Very Hard,0.75,Graphs; Math Related
805,G&T,Graph,Dropdown 1: 55; Dropdown 2: Z,100363,Very Hard,0.85,Graphs
806,G&T,Graph,Dropdown 1: 3; Dropdown 2: G,100443,Easy,0.15,Graphs
807,G&T,Graph,Dropdown 1: 830; Dropdown 2: less than 0.10,100326,Medium,0.45,Graphs
808,G&T,Graph,Dropdown 1: greater than; Dropdown 2: 2011,101119,Medium,0.45,Graphs; Non-Math Related
809,G&T,Graph,Dropdown 1: 55; Dropdown 2: 8,102409,Very Hard,0.85,Graphs
810,G&T,Graph,Dropdown 1: t = 60 than at t = 80; Dropdown 2: t = 180 to t = 200,100353,Medium,0.35,Graphs; Non-Math Related
811,G&T,Graph,Dropdown 1: London; Dropdown 2: 20%,100356,Medium,0.45,Graphs
812,G&T,Graph,Dropdown 1: Delta; Dropdown 2: Zeta,100375,Very Hard,0.85,Graphs
813,G&T,Graph,Dropdown 1: 350 and 370; Dropdown 2: Strong Negative,100408,Very Hard,0.75,Graphs
814,G&T,Graph,Dropdown 1: 2; Dropdown 2: end user group,102408,Medium,0.25,Graphs
815,G&T,Graph,Dropdown 1: France; Dropdown 2: Russia,100381,Hard,0.55,Graphs
816,G&T,Graph,Dropdown 1: 3.12; Dropdown 2: 10 and 14,100406,Very Hard,0.95,Graphs; Math Related
817,G&T,Graph,Dropdown 1: main sequence; Dropdown 2: white dwarfs,100309,Hard,0.55,Graphs; Non-Math Related
818,G&T,Graph,Dropdown 1: 800; Dropdown 2: 200,100323,Hard,0.65,Graphs
819,G&T,Graph,Dropdown 1: D; Dropdown 2: A,100438,Very Hard,0.85,Graphs
820,G&T,Graph,Dropdown 1: Between 1 and 10; Dropdown 2: 78,100405,Very Hard,0.95,Graphs
