topic,topic_nome,blocco,domanda,pagina_pdf,opzioni,incipit
1,Conclusion,1,1,2,5,"In the United States, about \$5,200 per person per year is spent on health care, while in..."
1,Conclusion,1,2,2,5,"Spokesperson: In the 2006 election of the city mayor, 55% of the voters were female. All t..."
1,Conclusion,1,3,2,5,"In 2003, the Making Hits Record Company spent 40% of its total budget on the production of..."
1,Conclusion,1,4,2,5,"Due to high jet fuel costs, airline carriers are looking for new ways to increase revenues..."
1,Conclusion,1,5,3,5,A recent research study of undergraduate students analyzed the effects of music on human e...
1,Conclusion,1,6,3,5,Columnist: The winner of this year’s national spelling bee won by correctly spelling the s...
1,Conclusion,1,7,3,5,"In Eastland, from 2000 to 2005, the total consumption of fish increased by 4.5 percent, an..."
1,Conclusion,1,8,3,5,Everyone who has graduated from TopNotch High School has an intelligence quotient (IQ) of...
1,Conclusion,1,9,4,5,"According to a recent study on financial roles, one-third of high school seniors say that..."
1,Conclusion,1,10,4,5,"Analyst: Creative professionals, such as clothing designers, graphic designers, and decora..."
1,Conclusion,1,11,4,5,Advocates insist that health savings accounts are an efficient method to reduce medical ex...
1,Conclusion,1,12,4,5,"Albinism is a rare genetic condition that inhibits the production of melanin, or pigmentat..."
1,Conclusion,1,13,5,5,"Celiac disease results from an inability of the digestive tract, specifically the small in..."
1,Conclusion,1,14,5,5,Mayville Airport and Newcomb Airport have the same number of flight departures each day. M...
1,Conclusion,1,15,5,5,The head baker at Barry’s Bagels can either purchase flour in-person from the local flour...
1,Conclusion,1,16,5,5,Box office receipts for independent movies for the first half of this year have increased...
1,Conclusion,1,17,6,5,"According to a recent magazine article, of those office employees who typically work 8 hou..."
1,Conclusion,1,18,6,5,"On Monday, Daisy’s Lemonade Stand sold lemonade at 20 cents per cup. The Lemon Shack sold..."
1,Conclusion,1,19,6,5,Government restrictions have severely limited the amount of stem cell research American co...
1,Conclusion,1,20,6,5,"As many as 98,000 people die each year due to medical error. In a campaign to reduce letha..."
1,Conclusion,1,21,7,5,Federal law prohibits businesses from reimbursing any employees for the cost of owning and...
1,Conclusion,1,22,7,5,"Antoine: The alarming fact is that among children aged 19 years and younger, the number ta..."
1,Conclusion,1,23,7,5,The ability to analyze genomes — sequences of DNA — has grown more and more sophisticated....
1,Conclusion,1,24,7,5,The restaurant business wastes more energy than any other industry in the United States. N...
1,Conclusion,1,25,8,5,"Under a new clean air proposal, the government has decided to tighten controls on the rele..."
